title	author	year	bookID	bookID_encoded	fiction	non-fiction	mystery	thriller	romance	science fiction	fantasy	historical fiction	biography	autobiography	history	science	technology	health	cooking	travel	poetry	drama	children's literature	young adult	crime	horror	comedy	adventure
A Heartbreaking Work of Staggering Genius	Dave Eggers	2001	0375725784	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
The Dress Lodger (Ballantine Reader's Circle)	Sheri Holman	2001	0345436911	125	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Fellowship of the Ring (The Lord of the Rings, Part 1)	J.R.R. TOLKIEN	1986	0345339703	97	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Blue Nowhere : A Novel	Jeffery Deaver	2002	0671042262	381	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A Year in Provence	Peter Mayle	1991	0679731148	392	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Summer Sisters	Judy Blume	1999	0440226430	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
What to Expect When You're Expecting (Revised Edition)	Arlene Eisenberg	1996	089480829X	448	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
What to Expect the First Year	Arlene Eisenberg	1989	0894805770	447	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Miss Julia Speaks Her Mind : A Novel	Ann B. Ross	2000	0688177751	408	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Big Stone Gap: A Novel (Ballantine Reader's Circle)	Adriana Trigiani	2001	0345438329	126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Reader	Bernhard Schlink	1999	0375707972	144	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Back When We Were Grownups : A Novel (Ballantine Reader's Circle)	ANNE TYLER	2002	0345446860	130	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
One for the Money (A Stephanie Plum Novel)	Janet Evanovich	2003	0312990456	75	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lord of the Flies	William Gerald Golding	1959	0399501487	198	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
The Alienist	Caleb Carr	1995	0553572997	351	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Into the Wild	Jon Krakauer	1997	0385486804	176	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
The Curious Incident of the Dog in the Night-Time (Today Show Book Club #13)	Mark Haddon	2003	0385512104	187	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
The Smoke Jumper	Nicholas Evans	2002	0440235162	240	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Cause of Death	Patricia Daniels Cornwell	1997	0425158616	203	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Alchemist: A Fable About Following Your Dream	Paulo Coelho	1995	0062502182	31	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Poisonwood Bible	Barbara Kingsolver	1999	0060175400	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Point of Origin	Patricia Daniels Cornwell	1999	0425169863	208	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Rising Sun	MICHAEL CRICHTON	1992	0345380371	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1st to Die: A Novel	James Patterson	2002	0446610038	273	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Into Thin Air : A Personal Account of the Mt. Everest Disaster	JON KRAKAUER	1998	0385492081	178	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snow Falling on Cedars	David Guterson	1995	067976402X	398	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Everything's Eventual : 14 Dark Tales	Stephen King	2002	0743457358	421	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Here on Earth	Alice Hoffman	1998	0425167313	207	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Lost World	Michael Crichton	1996	034540288X	118	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
The Shelters of Stone (Earth's Children Series, No 5)	JEAN M. AUEL	2002	0609610597	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
White Oleander : A Novel	Janet Fitch	2001	0316182540	78	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Handmaid's Tale	Margaret Atwood	1989	0449212602	286	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
The Girl Who Loved Tom Gordon : A Novel	Stephen King	1999	0684867621	405	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Murder Book	Jonathan Kellerman	2003	0345413903	121	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Ishmael: An Adventure of the Mind and Spirit	Daniel Quinn	1995	0553375407	349	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Hearts In Atlantis	Stephen King	2000	0671024248	374	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback))	ANN PACKER	2003	0375727132	147	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
The Simple Truth	David Baldacci	1999	0446607711	269	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1984	George Orwell	1990	0451524934	307	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
The Mists of Avalon	MARION ZIMMER BRADLEY	1987	0345350499	102	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel)	Janet Evanovich	2001	0312976275	69	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jemima J: A Novel About Ugly Ducklings and Swans	Jane Green	2001	0767905180	424	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback))	J. K. Rowling	1999	059035342X	361	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Daughter of Fortune: A Novel	Isabel Allende	2001	038082101X	161	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seven Habits Of Highly Effective People	Stephen R. Covey	1990	0671708635	386	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fahrenheit 451	RAY BRADBURY	1987	0345342968	100	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ender's Game (Ender Wiggins Saga (Paperback))	Orson Scott Card	1994	0812550706	442	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
The Andromeda Strain	MICHAEL CRICHTON	1992	0345378482	109	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Loves Music, Loves to Dance	Mary Higgins Clark	1992	0671758896	387	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Dolores Claiborne	Stephen King	2004	0451177096	300	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
The Eye of the World (The Wheel of Time, Book 1)	Robert Jordan	1990	0812511816	441	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson	MITCH ALBOM	1997	0385484518	175	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pigs in Heaven	Barbara Kingsolver	1994	0060922532	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tell No One	Harlan Coben	2002	0440236703	242	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation	Lynne Truss	2004	1592400876	465	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Black Notice	Patricia Daniels Cornwell	2000	0425175405	210	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Mystic River	Dennis Lehane	2002	0380731851	156	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sick Puppy	Carl Hiaasen	2001	0446604666	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
Prey	Michael Crichton	2003	0061015725	29	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Fear Nothing	DEAN KOONTZ	1998	0553579754	354	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
J Is for Judgment	Sue Grafton	1999	0449221482	289	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A Is for Alibi (Kinsey Millhone Mysteries (Paperback))	SUE GRAFTON	1987	0553279912	343	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphere	MICHAEL CRICHTON	1988	0345353145	104	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
The Pelican Brief	John Grisham	1993	0440214041	226	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bridget Jones: The Edge of Reason	Helen Fielding	2001	0140298479	46	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Interview with the Vampire	Anne Rice	1993	0345337662	95	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
The Queen of the Damned (Vampire Chronicles (Paperback))	Anne Rice	1993	0345351525	103	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"\O\"" Is for Outlaw"""	SUE GRAFTON	2001	0449003787	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
The Book of Ruth (Oprah's Book Club (Paperback))	Jane Hamilton	1990	0385265700	163	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
How to Be Good	Nick Hornby	2002	1573229326	463	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
The Color Purple	Alice Walker	1985	0671617028	384	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
The Notebook	Nicholas Sparks	1998	0446605239	263	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Diary of a Mad Bride (Summer Display Opportunity)	Laura Wolf	2002	0385335830	166	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Carolina Moon	Nora Roberts	2001	0515130389	319	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
East of Eden (Oprah's Book Club)	John Steinbeck	2003	0142004235	51	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Three Fates	Nora Roberts	2004	0515135062	325	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Pay It Forward	Catherine Ryan Hyde	2000	0743412028	418	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bastard Out of Carolina	Dorothy Allison	1993	0452269571	311	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Face the Fire (Three Sisters Island Trilogy)	Nora Roberts	2002	051513287X	323	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Stupid White Men ...and Other Sorry Excuses for the State of the Nation!	Michael Moore	2002	0060392452	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Harry Potter and the Sorcerer's Stone (Book 1)	J. K. Rowling	1998	0590353403	360	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Dude, Where's My Country?	Michael Moore	2003	0446532231	259	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bee Season: A Novel	Myla Goldberg	2001	0385498802	180	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANGELA'S ASHES	Frank McCourt	1996	0684874350	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
Violets Are Blue	James Patterson	2002	0446611212	276	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
The Tale of the Body Thief (Vampire Chronicles (Paperback))	Anne Rice	1993	034538475X	113	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback))	Patricia D. Cornwell	1994	0380718340	154	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
The Eyre Affair: A Novel	Jasper Fforde	2003	0142001805	50	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Body Farm	Patricia Daniels Cornwell	1995	0425147622	200	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
The Hours: A Novel	Michael Cunningham	2002	0312305060	60	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Midwives: A Novel	Chris Bohjalian	1998	0375706771	143	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Song of Solomon (Oprah's Book Club (Paperback))	Toni Morrison	1987	0452260116	309	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atlas Shrugged	Ayn Rand	1996	0451191145	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
I Know This Much Is True	Wally Lamb	1999	0060987561	25	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
To the Nines: A Stephanie Plum Novel	Janet Evanovich	2003	0312265867	57	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series)	Richard Carlson	1997	0786881852	429	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Call of the Wild	Jack London	0	1559029838	459	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Girl, Interrupted	SUSANNA KAYSEN	1994	0679746048	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Wish You Well	David Baldacci	2001	0446610100	274	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Four To Score (A Stephanie Plum Novel)	Janet Evanovich	1999	0312966970	67	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Watership Down	Richard Adams	1976	0380002930	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1
High Five (A Stephanie Plum Novel)	Janet Evanovich	2000	0312971346	68	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Five Quarters of the Orange	Joanne Harris	2002	0060958022	19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies	Laura Esquivel	1994	0385474016	173	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
The Dive From Clausen's Pier (Alex Awards)	ANN PACKER	2002	0375412824	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
"A Child Called \It\"": One Child's Courage to Survive"""	Dave Pelzer	1995	1558743669	455	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Final Target	Iris Johansen	2002	0553582135	357	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A Map of the World	Jane Hamilton	1999	0385720106	188	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siddhartha	Hermann Hesse	1981	0553208845	329	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2)	Tim LaHaye	1997	0842329218	444	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
The Runaway Jury	JOHN GRISHAM	1997	0440221471	229	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Without Remorse	Tom Clancy	2004	0425143325	199	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
The Woman Next Door	Barbara Delinsky	2002	0743411250	417	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Divine Secrets of the Ya-Ya Sisterhood: A Novel	Rebecca Wells	2002	0060502258	8	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Hobbit : The Enchanting Prelude to The Lord of the Rings	J.R.R. TOLKIEN	1986	0345339681	96	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Chicken Soup for the Teenage Soul (Chicken Soup for the Soul)	Jack Canfield	1997	1558744630	457	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Contact	Carl Sagan	1997	0671004107	367	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Harry Potter and the Chamber of Secrets (Book 2)	J. K. Rowling	2000	0439064872	215	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries)	Mark Haddon	2004	1400032717	452	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Love in the Time of Cholera (Penguin Great Books of the 20th Century)	Gabriel Garcia Marquez	1994	0140119906	39	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Ashes to Ashes	TAMI HOAG	2000	0553579606	353	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0
The Professor and the Madman: A Tale of Murder, Insanity, and the Making of The Oxford English Dictionary	Simon Winchester	1999	006099486X	26	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Presumed Innocent	Scott Turow	1989	0446359866	253	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Politically Correct Bedtime Stories: Modern Tales for Our Life and Times	James Finn Garner	1994	002542730X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
4 Blondes	Candace Bushnell	2002	0451203895	306	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Night	Elie Wiesel	1982	0553272535	336	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
STONES FROM THE RIVER	Ursula Hegi	1997	068484477X	402	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Falling Angels	Tracy Chevalier	2002	0452283205	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
The Valley of Horses	JEAN M. AUEL	1984	0553250531	332	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Client	John Grisham	1994	0440213525	225	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Harry Potter and the Prisoner of Azkaban (Book 3)	J. K. Rowling	1999	0439136350	216	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Charlotte's Web (Trophy Newbery)	E. B. White	1974	0064400557	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Lucky : A Memoir	Alice Sebold	2002	0316096199	77	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Catch Me If You Can: The True Story of a Real Fake	Stan Redding	2000	0767905385	425	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Circle of Friends	Maeve Binchy	1991	0440211263	221	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
The Bourne Identity	Robert Ludlum	1984	0553260111	333	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Under the Tuscan Sun	Frances Mayes	1997	0767900383	422	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Tis: A Memoir	Frank McCourt	2000	0684865742	404	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bag of Bones	Stephen King	1999	067102423X	373	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
The Prince of Tides	Pat Conroy	1987	0553268880	334	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
A Bend in the Road	Nicholas Sparks	2002	0446611867	277	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
Shopaholic Ties the Knot	Sophie Kinsella	2003	0385336179	168	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
One Door Away from Heaven	Dean R. Koontz	2002	0553582755	359	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Bridges of Madison County	Robert James Waller	1992	044651652X	256	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
The Return of the King (The Lord of the Rings, Part 3)	J.R.R. TOLKIEN	1986	0345339738	99	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
High Fidelity	Nick Hornby	1996	1573225517	460	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A Confederacy of Dunces (Evergreen Book)	John Kennedy Toole	1987	0802130208	431	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Mrs Dalloway	Virginia Woolf	1990	0156628708	54	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prodigal Summer	Barbara Kingsolver	2000	0060199652	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Flesh and Blood	Jonathan Kellerman	2002	034541389X	120	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
White Oleander : A Novel (Oprah's Book Club)	Janet Fitch	2000	0316284955	79	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Confessions of an Ugly Stepsister : A Novel	Gregory Maguire	2000	0060987529	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zen and the Art of Motorcycle Maintenance: An Inquiry into Values	ROBERT PIRSIG	1984	0553277472	340	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
House of Sand and Fog	Andre Dubus III	2000	0375727345	148	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
White Teeth: A Novel	Zadie Smith	2001	0375703861	140	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sophie's World: A Novel About the History of Philosophy	Jostein Gaarder	1996	0425152251	201	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Silence of the Lambs	Thomas Harris	1991	0312924585	65	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
The Hot Zone	Richard Preston	1995	0385479565	174	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
The Rapture of Canaan	Sheri Reynolds	1997	0425162443	205	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Heaven and Earth (Three Sisters Island Trilogy)	Nora Roberts	2003	0515132020	321	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Dance upon the Air (Three Sisters Island Trilogy)	Nora Roberts	2003	0515131229	320	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
What Looks Like Crazy On An Ordinary Day	Pearl Cleage	1998	038079487X	159	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Angela's Ashes (MMP) : A Memoir	Frank McCourt	1999	0684872153	406	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Corrections: A Novel	Jonathan Franzen	2002	0312421273	62	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coraline	Neil Gaiman	2002	0380977788	162	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Guilty Pleasures (Anita Blake Vampire Hunter (Paperback))	Laurell K. Hamilton	1995	0441304834	249	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Stranger in a Strange Land (Remembering Tomorrow)	Robert A. Heinlein	1995	0441790348	251	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
